,Show Names,total_rating,critics_rating,readers_rating
0,Ain't Too Proud,5.21,7.18,3.24
1,Aladdin,6.37,6.84,5.90
3,Beetlejuice,5.54,6.05,5.04
4,Betrayal,8.56,8.56,
5,Chicago,8.49,9.50,7.47
6,Come From Away,6.20,8.00,4.41
7,Dear Evan Hansen,7.92,9.41,6.43
9,Freestyle Love Supreme,8.27,8.27,
10,Frozen,6.04,6.61,5.47
11,Hadestown,7.22,8.21,6.23
12,Hamilton,7.44,9.68,5.21
14,Linda Vista,0.00,0.00,
15,Mean Girls,5.41,7.00,3.82
18,Sea Wall/A Life,7.69,7.69,
19,Slave Play,0.00,0.00,
20,The Book of Mormon,7.09,8.71,5.46
21,The Great Society,6.31,6.31,
22,The Height of the Storm,7.13,7.13,
23,The Inheritance,0.00,0.00,
25,The Lion King,8.34,8.75,7.92
26,The Phantom of the Opera,7.07,6.83,7.30
27,The Rose Tattoo,0.00,0.00,
28,The Sound Inside,0.00,0.00,
29,To Kill A Mockingbird,5.74,8.00,3.47
30,Tootsie,5.83,7.65,4.00
31,Waitress,6.28,7.70,4.87
32,Wicked,6.57,5.33,7.82
33,What the Constitution Means to Me,5.00,9.00,1.00
34,King Kong,4.04,4.18,3.90
37,The Cher Show,5.94,6.73,5.16
38,Be More Chill,5.28,6.43,4.14
39,The Prom,6.02,7.64,4.40
40,Frankie and Johnny in the Clair de Lune,5.61,7.63,3.60
42,Burn This,5.15,6.88,3.43
44,Ink,6.21,8.05,4.38
45,My Fair Lady,6.38,8.69,4.07
46,The Ferryman,6.74,9.08,4.40
47,All My Sons,6.76,7.94,5.57
50,Hillary and Clinton,4.66,6.82,2.50
53,King Lear,5.17,7.17,3.18
54,Network,5.70,8.29,3.11
57,Kinky Boots,7.23,7.33,7.12
58,The Band's Visit,6.92,8.76,5.08
59,Anastasia,6.60,7.13,6.07
60,True West,4.32,6.86,1.78
61,Choir Boy,5.99,8.23,3.75
