,Show,Date,FB Likes,Likes Vs.Last Week,cleaned_FB Talking About,Talking Vs.Last Week,cleaned_FB Checkins,Checkins vs.Last Week,Twitter Followers,Twitter vs.Last Week,Instagram Followers,IG Followers vs.Last Week,Current,Type,FB Talking About,FB Checkins,Month,Day,Year,outlier_detection
0,A Christmas Carol,2019/9/29,244.0,22.0,299.0,-84.0,0.0,0.0,60.0,2.0,257.0,25.0,Upcoming,Play,299,0.0,9,29,2019.0,0.0
1,A Christmas Carol,2019/9/22,222.0,0.0,383.0,0.0,0.0,0.0,58.0,0.0,232.0,0.0,Upcoming,Play,383,0.0,9,22,2019.0,0.0
2,Ain't Too Proud,2019/9/29,8451.0,152.0,4848.0,-178.0,18743.0,694.0,2971.0,38.0,13279.0,114.0,Current,Musical,4848,18743.0,9,29,2019.0,1.0
3,Ain't Too Proud,2019/9/22,8299.0,150.0,5026.0,1483.0,18049.0,646.0,2933.0,26.0,13165.0,95.0,Current,Musical,5026,18049.0,9,22,2019.0,1.0
4,Ain't Too Proud,2019/9/15,8149.0,113.0,3543.0,-668.0,17403.0,747.0,2907.0,23.0,13070.0,170.0,Current,Musical,3543,17403.0,9,15,2019.0,1.0
5,Ain't Too Proud,2019/9/8,8036.0,115.0,4211.0,-1398.0,16656.0,715.0,2884.0,18.0,12900.0,122.0,Current,Musical,4211,16656.0,9,8,2019.0,1.0
6,Ain't Too Proud,2019/9/1,7921.0,169.0,5609.0,-1359.0,15941.0,707.0,2866.0,36.0,12778.0,146.0,Current,Musical,5609,15941.0,9,1,2019.0,1.0
7,Ain't Too Proud,2019/8/25,7752.0,153.0,6968.0,4056.0,15234.0,669.0,2830.0,20.0,12632.0,82.0,Current,Musical,6968,15234.0,8,25,2019.0,1.0
8,Ain't Too Proud,2019/8/18,7599.0,67.0,2912.0,-1015.0,14565.0,709.0,2810.0,46.0,12550.0,121.0,Current,Musical,2912,14565.0,8,18,2019.0,1.0
9,Ain't Too Proud,2019/8/11,7532.0,89.0,3927.0,-472.0,13856.0,661.0,2764.0,23.0,12429.0,97.0,Current,Musical,3927,13856.0,8,11,2019.0,1.0
10,Ain't Too Proud,2019/8/4,7443.0,102.0,4399.0,-18.0,13195.0,708.0,2741.0,36.0,12332.0,83.0,Current,Musical,4399,13195.0,8,4,2019.0,1.0
11,Ain't Too Proud,2019/7/28,7341.0,122.0,4417.0,-540.0,12487.0,652.0,2705.0,13.0,12249.0,78.0,Current,Musical,4417,12487.0,7,28,2019.0,1.0
12,Ain't Too Proud,2019/7/22,7219.0,160.0,4957.0,1231.0,11835.0,623.0,2692.0,22.0,12171.0,193.0,Current,Musical,4957,11835.0,7,22,2019.0,1.0
13,Ain't Too Proud,2019/7/14,7059.0,76.0,3726.0,-734.0,11212.0,589.0,2670.0,35.0,11978.0,217.0,Current,Musical,3726,11212.0,7,14,2019.0,1.0
14,Ain't Too Proud,2019/7/7,6983.0,151.0,4460.0,1629.0,10623.0,681.0,2635.0,30.0,11761.0,248.0,Current,Musical,4460,10623.0,7,7,2019.0,1.0
15,Ain't Too Proud,2019/6/30,6832.0,71.0,2831.0,-3415.0,9942.0,605.0,2605.0,53.0,11513.0,198.0,Current,Musical,2831,9942.0,6,30,2019.0,1.0
16,Ain't Too Proud,2019/6/23,6761.0,131.0,6246.0,246.0,9337.0,685.0,2552.0,52.0,11315.0,266.0,Current,Musical,6246,9337.0,6,23,2019.0,1.0
17,Ain't Too Proud,2019/6/16,6630.0,129.0,6000.0,99.0,8652.0,631.0,2500.0,111.0,11049.0,691.0,Current,Musical,6000,8652.0,6,16,2019.0,1.0
18,Ain't Too Proud,2019/6/9,6501.0,249.0,5901.0,1634.0,8021.0,627.0,2389.0,345.0,10358.0,886.0,Current,Musical,5901,8021.0,6,9,2019.0,1.0
19,Ain't Too Proud,2019/6/2,6252.0,133.0,4267.0,-158.0,7394.0,581.0,2044.0,38.0,9472.0,273.0,Current,Musical,4267,7394.0,6,2,2019.0,1.0
20,Ain't Too Proud,2019/5/26,6119.0,200.0,4425.0,-2085.0,6813.0,715.0,2006.0,58.0,9199.0,253.0,Current,Musical,4425,6813.0,5,26,2019.0,1.0
21,Ain't Too Proud,2019/5/19,5919.0,382.0,6510.0,1363.0,6098.0,432.0,1948.0,41.0,8946.0,598.0,Current,Musical,6510,6098.0,5,19,2019.0,1.0
22,Ain't Too Proud,2019/5/12,5537.0,132.0,5147.0,-10143.0,5666.0,472.0,1907.0,66.0,8348.0,528.0,Current,Musical,5147,5666.0,5,12,2019.0,-1.0
23,Ain't Too Proud,2019/5/5,5405.0,520.0,15290.0,10034.545454545456,5194.0,363.0,1841.0,205.0,7820.0,906.0,Current,Musical,15290,5194.0,5,5,2019.0,-1.0
24,Ain't Too Proud,2019/4/28,4885.0,218.0,5255.454545454545,0.0,4831.0,432.0,1636.0,44.0,6914.0,251.0,Current,Musical,0,4831.0,4,28,2019.0,1.0
25,Ain't Too Proud,2019/4/21,4667.0,141.0,5255.454545454545,0.0,4399.0,368.0,1592.0,46.0,6663.0,239.0,Current,Musical,0,4399.0,4,21,2019.0,1.0
26,Ain't Too Proud,2019/4/14,4526.0,130.0,5255.454545454545,-2934.545454545455,4031.0,566.0,1546.0,89.0,6424.0,268.0,Current,Musical,0,4031.0,4,14,2019.0,1.0
27,Ain't Too Proud,2019/4/7,4396.0,290.0,8190.0,2578.0,3465.0,595.0,1457.0,194.0,6156.0,173.0,Current,Musical,8190,3465.0,4,7,2019.0,1.0
28,Ain't Too Proud,2019/3/31,4106.0,703.0,5612.0,-8817.0,2870.0,518.0,1263.0,64.0,5983.0,381.0,Current,Musical,5612,2870.0,3,31,2019.0,1.0
29,Ain't Too Proud,2019/3/24,3403.0,734.0,14429.0,9822.0,2352.0,662.0,1199.0,361.0,5602.0,1355.0,Current,Musical,14429,2352.0,3,24,2019.0,-1.0
30,Ain't Too Proud,2019/3/17,2669.0,228.0,4607.0,-19.0,1690.0,235.0,838.0,52.0,4247.0,265.0,Current,Musical,4607,1690.0,3,17,2019.0,1.0
31,Ain't Too Proud,2019/3/10,2441.0,415.0,4626.0,1629.0,1455.0,314.0,786.0,63.0,3982.0,328.0,Current,Musical,4626,1455.0,3,10,2019.0,-1.0
32,Ain't Too Proud,2019/3/3,2026.0,197.0,2997.0,769.0,1141.0,146.0,723.0,74.0,3654.0,337.0,Current,Musical,2997,1141.0,3,3,2019.0,1.0
33,Ain't Too Proud,2019/2/24,1829.0,85.0,2228.0,-119.0,995.0,4.0,649.0,23.0,3317.0,131.0,Upcoming,Musical,2228,995.0,2,24,2019.0,1.0
34,Ain't Too Proud,2019/2/17,1744.0,75.0,2347.0,186.0,991.0,6.0,626.0,10.0,3186.0,166.0,Upcoming,Musical,2347,991.0,2,17,2019.0,1.0
35,Ain't Too Proud,2019/2/10,1669.0,171.0,2161.0,-419.0,985.0,2.0,616.0,23.0,3020.0,125.0,Upcoming,Musical,2161,985.0,2,10,2019.0,1.0
36,Ain't Too Proud,2019/2/3,1498.0,57.0,2580.0,416.0,983.0,0.0,593.0,10.0,2895.0,147.0,Upcoming,Musical,2580,983.0,2,3,2019.0,1.0
37,Ain't Too Proud,2019/1/27,1441.0,177.0,2164.0,-986.0,983.0,4.0,583.0,12.0,2748.0,137.0,Upcoming,Musical,2164,983.0,1,27,2019.0,1.0
