manual_label,show,rating,title,content,company,author,date
2,The Bridges of Madison County,7,Aisle View: Bridge Over Troubled Adaptation,"Here we have a musical which in its finest moments offers the sort of robustly romantic Broadway-style singing--and writing--that brings to mind such treasures as Carousel and The Most Happy Fella. Those shows, when mounted properly, offer emotional peaks and climaxes so effective that there's not a dry eye in the house. In Bridges of Madison County, when romance goes asunder and the sympathetic lovers are forced apart, we sit there stonefaced, with nary a wet eye in the house. At least, not where I was sitting. You enjoy the wonderful performances and the numerous soaring ballads, frustrated that this exceptional work isn't contained in a more workable musical.",Huffington Post,Steven Suskin,2/20/14
2,To Kill A Mockingbird,8,Theater Review: Aaron Sorkin’s To Kill a Mockingbird Adaptation Walks the Walk,"Bartlett Sher and his designers have created a shifting, breathing, gorgeously orchestrated world, and while the top-billed Jeff Daniels is indeed lighting up the stage as the story's iconic lawyer, every member of the ensemble shines alongside him. As a company, under Sher's careful and majestic direction, they are incandescent.",Vulture,Sara Holdren,12/13/18
0,The People in the Picture,1,The Invisible Girls,"Much talent has been squandered on this stale confection, starting with that of Ms. Murphy, who switches from youth to old age and back again so deftly that you'll smile each time she does it. The cast is full of pros (it's always a joy to see Lewis J. Stadlen at work), and Andy Blankenbuehler, lately of ""In the Heights,"" has staged the musical numbers with pleasing skill. If you have an unusually high tolerance for sentiment, you might find ""The People in the Picture"" barely endurable.",Wall Street Journal,Terry Teachout,4/29/11
1,King Charles III,9,'King Charles III' an entertaining new thriller,"When was the last time you saw a new play that was written in iambic pentameter, or a futuristic fantasy about real-life, still-living political figures? Mike Bartlett's ""King Charles III,"" a critical and commercial hit in London, audaciously applies the conventions of the Shakespearean history play to today's British royal family, who are portrayed immediately after the death of the currently reigning 89-year-old Elizabeth II.",amNY,Matt Windman,11/1/15
2,Jerusalem,9,Jerusalem Brings Blood and Guts to Broadway,"Rylance takes it to the max--and the mat. Rarely has an antihero been so antiheroic. His limp alone looks so real I wouldn't be surprised if he let himself get run over by a car for the proper effect...It's a real experience, and though it becomes too ponderous and hard to take, I welcome anything with a statement and the theatrical means to blare it.",Village Voice,Michael Musto,4/21/11
0,The Visit,6,‘The Visit’ review: Chita Rivera stars in shoulda-been-better Kander and Ebb musical of revenge,"Revenge is a dish served tepid in ""The Visit."" The warmth hobbles this stark musical fable by John Kander, Fred Ebb and Terrence McNally. With this team, the show is certainly worthwhile. But it could really send shivers -- and doesn't. ""The Visit"" pulls its punches...The score echoes earlier rhythms and melodies of Kander and Ebb and provides an evocative backdrop. Rivera's husky voice and high-watt charisma go a long way here. And it would have worked even better if director John Doyle's staging was less polite. Scott Pask's skeletal set and Ann Hould-Ward's raggedy clothes scream decay. But the performances don't go there...Wildcat? No. Claire and ""The Visit"" are too domesticated for their own good.",NY Daily News,Joe Dziemianowicz,4/23/15
2,To Kill A Mockingbird,8,"Review: A Broadway ‘Mockingbird,’ Elegiac and Effective","These are two worthy ideas, if contradictory. In light of racial injustice, accommodation seems to be a white luxury; in light of accommodation, justice seems hopelessly naïve. Perhaps what this beautiful, elegiac version of ""To Kill a Mockingbird"" most movingly asks is: Can we ever have both?",New York Times,Jesse Green,12/13/18
2,A View from the Bridge,9,'View From the Bridge' on Broadway: Seeing every side of the story,"The white-hot director Ivo van Hove is not the first to embrace the passionate smolder behind Arthur Miller's 1955 play of forbidden passion in Italian-American Brooklyn...But it is hard to recall another staged production -- beyond this exquisitely profound Broadway import from London's Young Vic Theatre Company starring Mark Strong, Nicola Walker and Phoebe Fox -- that has depicted with such complexity and intensity what Eddie and his niece actually had together, before his infuriatingly effeminate usurper Rodolpho arrives, illegally, from the motherland...this is the very rare production that matches the complexity of the text, with its mixed-messaged collision of the cerebral and the sensual, a dichotomy at the heart of everything Miller ever wrote...Van Hove's brilliance is multifaceted, but much rests on his ability to focus the mind and soul on a work's tiny moments.",Chicago Tribune,Chris Jones,11/12/15
2,Of Mice and Men,8,"First Nighter: Franco, O'Dowd, Meester Distinguish Steinbeck's 'Of Mice and Men'","The beauty of Steinbeck's themes is that they're embedded in any number of pungent scenes that the cast members--many of them, like Franco, and Meester, making the Broadway bows--bring to vivid, heart-wrenching life under Shapiro's taut direction...Although Franco overdoes the level of his disappointment with Lennie at the opening, he pulls back through the remaining two acts to give a shaded view of a strong, moral man who has an obligation he can't refuse to honor and yet knows could be his undoing. O'Dowd brings all manner of subtlety to Lennie. What he does with his fluttery hands alone is acting inspiration. He sees that Lennie's feelings are all unguardedly on the surface and expresses that through mood changes often simultaneously funny and sorrowful.",Huffington Post,David Finkle,4/16/14
2,School of Rock ,9,‘School of Rock’ review: Andrew Lloyd Webber’s enjoyable return to Broadway,"The first thing to know is that the kids, cast through a high-profile talent search, are genuine children who play their own instruments, and they're all terrific. The other essential fact is that the substitute teacher, a character indelibly stamped on the film by Jack Black, has been shrewdly honored here by Alex Brightman, a helium balloon of a force that can bounce off walls and manage tender emotions with equal conviction.",Newsday,Linda Winer,12/6/15
