week_ending,show,this_week_gross,diff_in_dollars,avg_ticket_price,seats_sold,perfs,percent_of_cap,diff_percent_of_cap
1985-12-29,42nd Street,"$391,800.00","$198,083.00",$34.40,11388,8,86.01%,41.36%
1985-12-29,A Chorus Line,"$380,075.00","$190,414.00",$33.74,11265,8,95.66%,39.80%
1985-12-29,As Is,"$51,321.00","$20,950.00",$19.82,2590,8,47.26%,8.76%
1985-12-29,Benefactors,"$223,396.00","$73,083.00",$30.24,7388,8,85.51%,12.65%
1985-12-29,Big River,"$325,070.00","$51,341.00",$39.57,8216,8,100.88%,10.53%
1985-12-29,Biloxi Blues,"$246,859.00","$112,708.00",$26.95,9160,8,85.70%,37.30%
1985-12-29,Blood Knot,"$94,954.00","$28,462.00",$22.44,4232,8,65.71%,10.01%
1985-12-29,Brighton Beach Memoirs,"$146,701.00","$88,123.00",$22.47,6528,8,59.65%,31.04%
1985-12-29,Cats,"$478,327.00","$13,354.00",$39.56,12092,8,101.99%,0.67%
1985-12-29,Corpse!,"$30,400.00","$13,900.00",$50.67,600,0,15.03%,5.01%
1985-12-29,Doubles,"$79,146.00","$44,141.00",$19.11,4141,8,59.91%,26.98%
1985-12-29,Hay Fever,"$147,263.00","$69,579.00",$24.60,5987,8,67.42%,21.43%
1985-12-29,I'm Not Rappaport,"$156,620.00","$56,655.00",$25.97,6030,8,96.02%,31.86%
1985-12-29,Jerry's Girls,"$212,863.00","$123,218.00",$26.93,7903,8,60.94%,31.98%
1985-12-29,La Cage aux Folles,"$457,440.00","$160,345.00",$41.17,11110,8,82.52%,16.29%
1985-12-29,Oh! Calcutta!,"$44,802.00","$18,576.00",$14.48,3094,8,77.51%,36.49%
1985-12-29,Singin' in the Rain,"$413,666.00","$184,555.00",$33.97,12178,8,78.75%,30.35%
1985-12-29,Song and Dance,"$292,181.00","$87,368.00",$37.59,7772,8,93.50%,25.25%
1985-12-29,Tango Argentino,"$285,297.00","$55,419.00",$37.85,7537,8,58.77%,7.50%
1985-12-29,The Mystery of Edwin Drood,"$421,050.00","$147,632.00",$37.43,11249,8,98.68%,22.95%
1985-12-29,The Odd Couple,"$170,823.00","$84,466.00",$26.37,6477,8,68.55%,34.30%
1985-12-29,The Search for Signs of Intelligent Life in the Universe,"$237,493.00","$21,466.00",$27.24,8719,8,101.01%,7.25%
1985-12-22,42nd Street,"$193,717.00","-$86,628.00",$32.77,5912,8,44.65%,-20.10%
1985-12-22,A Chorus Line,"$189,661.00","-$51,651.00",$28.83,6578,8,55.86%,-12.67%
1985-12-22,As Is,"$30,371.00","-$5,040.00",$14.39,2110,8,38.50%,-3.80%
1985-12-22,Benefactors,"$150,313.00","$49,022.00",$23.88,6295,1,72.86%,-3.31%
1985-12-22,Big River,"$273,729.00","-$15,204.00",$37.20,7358,8,90.35%,-7.43%
1985-12-22,Biloxi Blues,"$134,151.00","-$65,439.00",$25.93,5173,8,48.40%,-22.23%
1985-12-22,Blood Knot,"$66,492.00",$609.00,$18.54,3587,8,55.70%,3.91%
1985-12-22,Brighton Beach Memoirs,"$58,578.00","-$44,284.00",$18.71,3131,8,28.61%,-17.10%
1985-12-22,Cats,"$464,973.00","$3,205.00",$38.71,12012,8,101.32%,-0.06%
1985-12-22,Corpse!,"$16,500.00","-$4,800.00",$41.25,400,0,10.02%,-10.02%
1985-12-22,Doubles,"$35,005.00","-$28,585.00",$15.38,2276,8,32.93%,-18.94%
1985-12-22,Hay Fever,"$77,684.00","$13,855.00",$19.02,4084,8,45.99%,10.16%
1985-12-22,I'm Not Rappaport,"$99,965.00","-$26,331.00",$24.81,4029,8,64.16%,-15.62%
1985-12-22,Jerry's Girls,"$89,645.00","$14,940.00",$27.28,3286,5,28.96%,-22.98%
1985-12-22,La Cage aux Folles,"$297,095.00","-$82,485.00",$33.32,8917,8,66.23%,-14.33%
1985-12-22,Oh! Calcutta!,"$26,226.00","-$6,038.00",$14.24,1842,9,41.02%,-9.19%
