,show,rating,title,content,company,author,date
0,Ain't Too Proud,9,"The Temptations Broadway Jukebox Musical, ‘Ain’t Too Proud,’ Is a Gold-Standard Triumph","Oh no, the heart sinks, another jukebox musical on Broadway. So many-Cher, Donna Summer-have been varying degrees of cringe. But after leaving Ain't Too Proud: The Life and Times of The Temptations, which opened tonight at the Imperial Theatre (to November 24), a happy revelation: This jukebox musical not only has life, it also has wit, intelligence, while also looking stunning and full of energy.",Daily Beast,Tim Teeman,03/21/2019
1,Ain't Too Proud,8,Review: An All-Star Team in the Temptations Musical ‘Ain’t Too Proud’,"While honoring all the expected biomusical clichés, which include rolling out its subjects' greatest hits in brisk and sometimes too fragmented succession, this production refreshingly emphasizes the improbable triumph of rough, combustible parts assembled into glistening smoothness.",New York Times,Ben Brantley,03/21/2019
2,Ain't Too Proud,8,BWW Review: The Temptations Balance Crossover Success and Racial Identity in Dominique Morisseau's AIN'T TOO PROUD,"While the great Motown songs like ""Just My Imagination,"" ""Get Ready"" and ""Papa Was a Rollin' Stone"" may be AIN'T TOO PROUD's main attraction, Morisseau's well-crafted storytelling proves just as important as the musical memories. This is the Broadway debut for the MacArthur Genius Grant recipient whose brilliant Off-Broadway contributions have included SKELETON CREW, PIPELINE and the trio of plays making up THE DETROIT PROJECT. Perhaps the next time her work appears on Broadway, the main attraction will be the music made by this exciting playwright's words.",BroadwayWorld,Michael Dale,03/21/2019
3,Ain't Too Proud,8,'Ain't Too Proud: The Life and Times of The Temptations': Theater Review,"There's some overlap here with 2015's Motown: The Musical, which covered a broader swath of the legendary hit factory's history. But this is the superior show, less pedestrian in its storytelling, if not without its own limitations. Those lie primarily in the workmanlike book, which settles on the memoir of Otis Williams, the Temptations' last surviving founding member, as its sole source. It also tries for such exhaustive detail that the narration almost literally never stops, while somehow making commercial success seem the easy part.",Hollywood Reporter,David Rooney,03/21/2019
4,Ain't Too Proud,8,‘Ain’t Too Proud’ Broadway Review: The Temptations Fight the Grind of Fame,"Real drama doesn't arrive until singer Al Bryant (Jarvis B. Manning Jr.) is replaced by David Ruffin (Ephraim Sykes). There are four more musicals to opens this Broadway season, but it's difficult to imagine a performer more energized in any of them than Sykes. His superstar-making turn as Ruffin sums up that old adage about the brightest burning out the fastest.",The Wrap,Robert Hofler,03/21/2019
5,Ain't Too Proud,8,'Ain't Too Proud' review: Temptations jukebox musical plays it safe,"""Jersey Boys"" meets ""Motown"" in ""Ain't Too Proud: The Life and Times of The Temptations,"" the latest biographical/backstage rock and roll jukebox musical to hit Broadway and market itself to the baby-boomer demographic. And while not exactly profound or original, it makes for slick, straightforward, tuneful and altogether pleasant entertainment.",amNY,Matt Windman,03/21/2019
6,Ain't Too Proud,8,Ain't Too Proud musical brings the Temptations to Broadway: EW review,What makes Beg memorable is the sheer overwhelming talent of the cast. Even if no one character has enough time or space in the script to fill in the contours of a full personality beyond a few fast details - baritone Otis Williams liked his suits electric blue; Falsetto king Eddie Kendricks got the nickname Corn because he... loved cornbread! - they can still bring every sweet harmony and cross-step.,Entertainment Weekly,Lea Greenblatt,03/21/2019
7,Ain't Too Proud,8,"Theater Review: ""Ain't Too Proud""","The big draw of course are those timeless Motown tunes-most of them written by Smokey Robinson and Norman Whitfield: ""My Girl,"" ""Ain't Too Proud To Beg,"" ""Papa Was A Rolling Stone."" And thankfully, Director Des McAnuff put the songs front and center, bringing out the best in his outrageously talented company. But when it comes to biographical shows, it's nearly impossible to break from the clichéd formulas-the rise from rags to riches, the ravages of fame, the usual demons: drugs, booze, family sacrifice; and all of it magnified by the ever-present specter of racism.",NY1,Roma Torre,03/21/2019
8,Ain't Too Proud,7,Temptations’ music elevates by-the-numbers ‘Ain’t Too Proud’,"""Ain't Too Proud"" arrived on Broadway Thursday night buoyed by a surge of nostalgia and a slew of Motown hits. But anyone who's seen the earlier jukebox shows ""Jersey Boys"" or ""Motown: The Musical"" is bound to feel a dull sense of déja vu.",New York Post,Joe Dziemianowicz,03/21/2019
9,Ain't Too Proud,7,Broadway Review: ‘Ain’t Too Proud’,"But polished performances, slick choreography (by Sergio Trujillio) and a slate of 31 Motown tunes should satisfy audiences who might not be looking for probing storytelling, as long as the show delivers well-performed hits. That it does, as it centers on the story of the classic quintet of performers singing ""Cloud Nine,"" ""If You Don't Know Me By Now,"" ""My Girl,"" ""I'm Gonna Make You Love Me"" and the title song, among others - including some songs that weren't the group's own.",Variety,Frank Rizzo,03/21/2019
10,Ain't Too Proud,7,'Ain't Too Proud' review: Familiar hits bolster a familiar story,"Told through the deep, memorable Motown catalog, the show, directed by Des McAnuff (""Jersey Boys""), works best when it relies on great songs like ""Papa Was a Rollin' Stone,"" ""My Girl,"" ""In the Still of the Night"" (though many are frustratingly interrupted or cut short). Choreographer Sergio Trujillo gives the singers slick moves considerably more polished than the originals ever managed, while Robert Brill's efficient turntable set is highlighted by Peter Nigrini's projections that provide location and historical context.",Newsday,Barbara Schuler,03/21/2019
11,Ain't Too Proud,6,"‘Ain’t Too Proud: The Life and Times of The Temptations’ Review: Soulful Songs, Leaden Book","'Ain't Too Proud,"" the new Temptations jukebox biomusical, is a Broadway musical for people who don't like Broadway musicals-or maybe for people who like only jukebox biomusicals. The score, which includes such chart-topping hits of the '60s and '70s as ""My Girl"" and ""Papa Was a Rollin' Stone,"" is terrific, as are the singing and pit band, but Sergio Trujillo's choreography is way too slick-the real-life Temptations moved like street-corner kids from Detroit, not glammed-up 42nd Street gypsies-and the projection-heavy set design is ploddingly dull. As for Dominique Morisseau's book, it sounds as though a roomful of ad executives wrote it.",Wall Street Journal,Terry Teachout,03/21/2019
12,Ain't Too Proud,6,Ain't Too Proud—The Life and Times of The Temptations,"It is Motown the Musical by way of Jersey Boys, with a soupçon of Dreamgirls in the Act One finale that makes you wish that the intragroup dynamics were more fully developed throughout. But Des McAnuff and choreographer Sergio Trujillo, who also collaborated on Jersey Boys, keep things speeding along: The conveyer belts and turntables of Robert Brill's set are hardly ever still, and the dancing represents a highly amped-up version of the Temptations' actual moves (sometimes at a slight cost to vocal precision). The songs do their work, and the ensemble casts shines whenever it gets a chance; Rashidra Scott makes an impression as Otis's ex-wife, for example, as does Saint Aubyn as Ruffin's peevish replacement, Dennis Edwards. As musical theater, Ain't Too Proud could generously be described as shameless. But as an evening of musical entertainment, it ain't too shabby.",TimeOut NY,Adam Feldman,03/21/2019
13,Ain't Too Proud,6,Ain't Too Proud review – thrilling music but shallow drama in Temptations musical,"There's a chilly irony at the shrink-wrapped heart of Ain't Too Proud: The Life and Times of the Temptations, the thrillingly performed and dramatically static jukebox musical on Broadway. This is a musical that's about (if it's about anything) the perils of fame. And a goose of fame is what it offers to the Temptations, the consummate R&B group that has been grooving in unison for almost six decades.",Guardian,Alexis Soloski,03/21/2019
14,Ain't Too Proud,6,"‘Ain’t Too Proud’ Broadway Review: The Temptations, Saved By Song","Ain't Too Proud - The Life and Times of The Temptations is further proof, as if we need it, that the term ""jukebox musical"" just isn't fair - to jukeboxes. Feed a juke some cash and it delivers music, free of the blunt exposition that passes for librettos in so many of these stage biographies. Even with source material as glorious as ""My Girl,"" ""Just My Imagination,"" ""Papa Was A Rolling Stone"" and the song that gives this production its title, the result feels less celebratory than ruthlessly efficient, like the treadmill device that's forever moving the ever-changing Temptations line-up on, off and around the Imperial Theatre's stage.",Deadline,Greg Evans,03/21/2019
15,Ain't Too Proud,6,"'Ain't Too Proud,' the tale of The Temptations, needed to tell its own story","""Ain't Too Proud"" has a wholly conventional structure, as if everyone involved didn't want to run any kind of counter-narrative to that of Williams or upset Berry Gordy (Jahi Kearse), whose persona here is exactly like his persona in ""Motown the Musical."" Fascinating issues like the band's appeal to white audiences, its need to tour in the South, its internal debates over whether it should sing Smokey Robinson ballads or Norman Whitfield soul, the drug use among many of its members and the complexity of Williams' own personal life are brought up but quickly and often awkwardly dismissed. Such are the perils of doing legacy-creating shows about living people with ownership interests in the material.",NY Daily News,Chris Jones,03/21/2019
16,Ain't Too Proud,6,Theater Review: A Temptations Bio-Musical and What Coulda Been,"What's interesting, though, is that so many of these songs are presented only in part, tossed in as if to whet our appetites only before the biographical plot, such as it is, trundles along. The ushers who seat you for Ain't Too Proud encourage you to clap, sing along, and respond to the show, and looking around, I could tell that my audience was hungry to do so. This was a house of fans. They wanted a nostalgic blowout concert, and as so many songs peeped in and out without a real finish, you could feel their applause anxiety growing. You can't build a whole musical out of climaxes, but you also don't want a house full of blue balls. And when the big finishes do come around, they don't quite smash through the ceiling. They're pleasing without being rapturous.",Vulture,Sara Holdren,03/21/2019
17,Aladdin,9,It's genie-us! 'Aladdin' rubs you the right way,"You may recognize the song from the 1992 animated movie on which this new musical, which opened Thursday at the New Amsterdam Theatre, is based. In the film version, Friend is sung by Robin Williams, voicing the role of the genie who comes to our titular hero's aid, at his most breathlessly ebullient. It's an act that would be impossible to reproduce, so Iglehart, abetted by director/choreographer Casey Nicholaw, simply tops it. By the end of the number - which includes a game-show segment, a medley of tunes from other Disney musicals and a succession of winking, twinkling chorus lines - Iglehart's Genie is deliriously huffing and puffing; the audience, which responded at a recent preview with a standing ovation, is just as giddy. If Disney Theatrical's latest production doesn't sustain that frenzied high throughout, it delivers a rush that may surprise folks who attend either as chaperones or to relive their own youths.",USA Today,Elysa Gardner,03/20/2014
18,Aladdin,8,Sly Alchemy From That Lamp,"The prospect of ""Aladdin,"" promising another weary night in the presence of a spunky youngster and wisecracking animals, didn't exactly set my heart racing. But this latest musical adapted from one of Disney's popular movies, which opened on Thursday night at the New Amsterdam Theater, defied my dour expectations. As directed and choreographed (and choreographed, and choreographed) by Casey Nicholaw, and adapted by the book writer Chad Beguelin, ""Aladdin"" has an infectious and only mildly syrupy spirit. Not to mention enough baubles, bangles and beading to keep a whole season of ""RuPaul's Drag Race"" contestants in runway attire.",New York Times,Charles Isherwood,03/20/2014
19,Aladdin,8,"Review: Disney hits magic again with 'Aladdin' on Broadway, thanks to a new Genie","It's spritely directed and choreographed by Casey Nicholaw, well sung by a huge 35-person cast wearing an alarming number of harem pants, and hits that sweet spot Disney Theatrical Productions do so well, a saccharine fairy tale for the kids cut by some sly, vinegary quips for their parents...Adam Jacobs stars as a sweet, hunky Aladdin -- or ""Al"" as he's called -- and Courtney Reed is his stunning-looking Jasmine, in a little need of some theatrical seasoning but with grooming seemingly straight off Bravo's ""Shahs of Sunset."" A welcome bit of casting is having Jonathan Freeman return as Jafar, the same role he voiced in the animated film. He is simply delicious, relishing his evilhood. One of the biggest obstacles into turning this property into a stage musical has been the blue elephant in the room, the Genie. How can you possibly have a real actor play the shape-shifting, manic talking spirit that Robin Williams so wonderfully portrayed on film? You apparently hire Iglehart, a cartwheeling, high kicking big man who can sing and goof. His extended scene in a cave prompts some theatergoers to give him a standing ovation -- and the show's not even half over.",Associated Press,Mark Kennedy,03/20/2014
20,Aladdin,8,'Aladdin' Proves Its Worth on Broadway,"Billing notwithstanding, the real star of ""Aladdin"" is James Monroe Iglehart, who plays the guy in the lamp, a part that was voiced in the movie by Robin Williams at his most frenetic. Mr. Iglehart is just as energetic, though his approach is different: His Genie is a hopped-up cross between Fats Waller and Cab Calloway. (Not surprisingly, he looks stupendous in an aquamarine zoot suit.) ""Friend Like Me,"" his big first-act number, comes within a cat's whisker of stopping the show. The trouble is that nothing else in the first act can touch it. Adam Jacobs and Courtney Reed, who play Aladdin and his princess, are pretty but bland, and the temperature doesn't start rising again until the magic-carpet ride, which comes after intermission and is the slickest thing to hit Broadway since the flying car in ""Chitty Chitty Bang Bang."" From then on, ""Aladdin"" becomes fun and stays that way.",Wall Street Journal,Terry Teachout,03/20/2014
21,Aladdin,8,Aisle View: Brass Lamp Turns Gold,"Director/choreographer Nicholaw (of Book of Mormon) is one of Broadway's top musical comedy guys nowadays, as demonstrated by ""Friend Like Me."" The rest of his first act, though, seems restrained and merely atmospheric. The scenery by Bob Crowley is effective, but without the extra-special touch he has brought to various projects in the past (including Mary Poppins and this season's Glass Menagerie). The always-expert Natasha Katz creates magical images with her lighting, while Gregg Barnes (of Follies and Kinky Boots) outdoes himself with costumes that bring new meaning to the word resplendent. The sound, though, is so over-amplified that it obscures what are probably first-rate orchestrations by Danny Troob. Score Aladdin a considerable win for Disney, likely to fill the New Amsterdam with happy crowds for seasons to come. Better than Little Mermaid, Aida and Tarzan, though not exactly a knockout.",Huffington Post,Steven Suskin,03/20/2014
22,Aladdin,8,'Aladdin' Broadway Review: A Smooth Ride for the Family Crowd,"The cartoonish musical is modelled after snappy 1960s Broadway musical comedies, complete with passing scenes staged ""in-one"" in front of a curtain to cover changes in décor. Sure, that's retro, but it suits the light-hearted material as well as a Disney crowd who probably prefers familiar formats. Casey Nicholaw, an ace director-choreographer, maintains a slightly tongue-in-cheek quality throughout the fast-moving show, especially in his frisky dances that, with their sinuous arm gestures, synchronized moves and general acrobatics, often suggest Bollywood production numbers. A lively and good-looking ensemble expertly undulates through the sometimes zany choreography.",New Jersey Newsroom,Michael Sommers,03/20/2014
