Show,Date,FB Likes,Likes Vs.Last Week,FB Talking About,Talking Vs.Last Week,FB Checkins,Checkins vs.Last Week,Twitter Followers,Twitter vs.Last Week,Instagram Followers,IG Followers vs.Last Week,Current,Type,Total Fans Change,Month,Day,Year
A Christmas Carol,2019/9/29,244,22,299,-84,0,0,60,2,257,25,Upcoming,Play,0.09570000000000001,9,29,2019.0
A Christmas Carol,2019/9/22,222,0,383,0,0,0,58,0,232,0,Upcoming,Play,0.0,9,22,2019.0
Ain't Too Proud,2019/9/29,8451,152,4848,-178,18743,694,2971,38,13279,114,Current,Musical,0.0125,9,29,2019.0
Ain't Too Proud,2019/9/22,8299,150,5026,1483,18049,646,2933,26,13165,95,Current,Musical,0.011200000000000002,9,22,2019.0
Ain't Too Proud,2019/9/15,8149,113,3543,-668,17403,747,2907,23,13070,170,Current,Musical,0.0128,9,15,2019.0
Ain't Too Proud,2019/9/8,8036,115,4211,-1398,16656,715,2884,18,12900,122,Current,Musical,0.0108,9,8,2019.0
Ain't Too Proud,2019/9/1,7921,169,5609,-1359,15941,707,2866,36,12778,146,Current,Musical,0.0151,9,1,2019.0
Ain't Too Proud,2019/8/25,7752,153,6968,4056,15234,669,2830,20,12632,82,Current,Musical,0.0111,8,25,2019.0
Ain't Too Proud,2019/8/18,7599,67,2912,-1015,14565,709,2810,46,12550,121,Current,Musical,0.0103,8,18,2019.0
Ain't Too Proud,2019/8/11,7532,89,3927,-472,13856,661,2764,23,12429,97,Current,Musical,0.009300000000000001,8,11,2019.0
Ain't Too Proud,2019/8/4,7443,102,4399,-18,13195,708,2741,36,12332,83,Current,Musical,0.009899999999999999,8,4,2019.0
Ain't Too Proud,2019/7/28,7341,122,4417,-540,12487,652,2705,13,12249,78,Current,Musical,0.0096,7,28,2019.0
Ain't Too Proud,2019/7/22,7219,160,4957,1231,11835,623,2692,22,12171,193,Current,Musical,0.0173,7,22,2019.0
Ain't Too Proud,2019/7/14,7059,76,3726,-734,11212,589,2670,35,11978,217,Current,Musical,0.015300000000000001,7,14,2019.0
Ain't Too Proud,2019/7/7,6983,151,4460,1629,10623,681,2635,30,11761,248,Current,Musical,0.020499999999999997,7,7,2019.0
Ain't Too Proud,2019/6/30,6832,71,2831,-3415,9942,605,2605,53,11513,198,Current,Musical,0.015600000000000001,6,30,2019.0
Ain't Too Proud,2019/6/23,6761,131,6246,246,9337,685,2552,52,11315,266,Current,Musical,0.0223,6,23,2019.0
Ain't Too Proud,2019/6/16,6630,129,6000,99,8652,631,2500,111,11049,691,Current,Musical,0.0484,6,16,2019.0
Ain't Too Proud,2019/6/9,6501,249,5901,1634,8021,627,2389,345,10358,886,Current,Musical,0.0833,6,9,2019.0
Ain't Too Proud,2019/6/2,6252,133,4267,-158,7394,581,2044,38,9472,273,Current,Musical,0.0256,6,2,2019.0
Ain't Too Proud,2019/5/26,6119,200,4425,-2085,6813,715,2006,58,9199,253,Current,Musical,0.0304,5,26,2019.0
Ain't Too Proud,2019/5/19,5919,382,6510,1363,6098,432,1948,41,8946,598,Current,Musical,0.0647,5,19,2019.0
Ain't Too Proud,2019/5/12,5537,132,5147,-10143,5666,472,1907,66,8348,528,Current,Musical,0.0482,5,12,2019.0
Ain't Too Proud,2019/5/5,5405,520,15290,15290,5194,363,1841,205,7820,906,Current,Musical,0.12140000000000001,5,5,2019.0
Ain't Too Proud,2019/4/28,4885,218,0,0,4831,432,1636,44,6914,251,Current,Musical,0.0397,4,28,2019.0
Ain't Too Proud,2019/4/21,4667,141,0,0,4399,368,1592,46,6663,239,Current,Musical,0.0341,4,21,2019.0
Ain't Too Proud,2019/4/14,4526,130,0,-8190,4031,566,1546,89,6424,268,Current,Musical,0.0406,4,14,2019.0
Ain't Too Proud,2019/4/7,4396,290,8190,2578,3465,595,1457,194,6156,173,Current,Musical,0.0579,4,7,2019.0
Ain't Too Proud,2019/3/31,4106,703,5612,-8817,2870,518,1263,64,5983,381,Current,Musical,0.1125,3,31,2019.0
Ain't Too Proud,2019/3/24,3403,734,14429,9822,2352,662,1199,361,5602,1355,Current,Musical,0.316,3,24,2019.0
Ain't Too Proud,2019/3/17,2669,228,4607,-19,1690,235,838,52,4247,265,Current,Musical,0.0756,3,17,2019.0
Ain't Too Proud,2019/3/10,2441,415,4626,1629,1455,314,786,63,3982,328,Current,Musical,0.1259,3,10,2019.0
Ain't Too Proud,2019/3/3,2026,197,2997,769,1141,146,723,74,3654,337,Current,Musical,0.10490000000000001,3,3,2019.0
Ain't Too Proud,2019/2/24,1829,85,2228,-119,995,4,649,23,3317,131,Upcoming,Musical,0.043,2,24,2019.0
Ain't Too Proud,2019/2/17,1744,75,2347,186,991,6,626,10,3186,166,Upcoming,Musical,0.0473,2,17,2019.0
Ain't Too Proud,2019/2/10,1669,171,2161,-419,985,2,616,23,3020,125,Upcoming,Musical,0.064,2,10,2019.0
