show,total_rating,critics_rating,readers_rating
42nd Street,,,
A Chorus Line,,,
As Is,,,
Benefactors,,,
Big River,,,
Biloxi Blues,,,
Blood Knot,,,
Brighton Beach Memoirs,,,
Cats,6.05,6.82,5.27
Corpse!,,,
Doubles,,,
Hay Fever,,,
I'm Not Rappaport,,,
Jerry's Girls,,,
La Cage aux Folles,,,
Oh! Calcutta!,,,
Singin' in the Rain,,,
Song and Dance,,,
Tango Argentino,,,
The Mystery of Edwin Drood,6.90,7.93,5.88
The Odd Couple,,,
The Search for Signs of Intelligent Life in the Universe,,,
Wind in the Willows,,,
The Marriage of Figaro,,,
The Boys of Winter,,,
The Iceman Cometh,5.56,7.92,3.20
The Nerd,,,
Sunday in the Park with George,7.33,8.84,5.82
Arms and the Man,,,
The Tap Dance Kid,,,
Aren't We All,,,
Leader of the Pack,,,
The King and I,7.22,8.72,5.72
Grind,,,
Ain't Too Proud,5.21,7.18,3.24
Aladdin,6.37,6.84,5.90
Beautiful: The Carole King Musical,,,
Beetlejuice,5.54,6.05,5.04
Betrayal,8.56,8.56,
Chicago,8.49,9.50,7.47
Come From Away,6.20,8.00,4.41
Dear Evan Hansen,7.92,9.41,6.43
Derren Brown: Secret,,,
Freestyle Love Supreme,8.27,8.27,
Frozen,6.04,6.61,5.47
Hadestown,7.22,8.21,6.23
Hamilton,7.44,9.68,5.21
"Harry Potter and the Cursed Child, Parts One and Two",,,
Linda Vista,0.00,0.00,
Mean Girls,5.41,7.00,3.82
Moulin Rouge! The Musical!,,,
Oklahoma!,,,
Sea Wall/A Life,7.69,7.69,
Slave Play,0.00,0.00,
The Book of Mormon,7.09,8.71,5.46
The Great Society,6.31,6.31,
The Height of the Storm,7.13,7.13,
The Inheritance,0.00,0.00,
The Lightning Thief: The Percy Jackson Musical,,,
The Lion King,8.34,8.75,7.92
The Phantom of the Opera,7.07,6.83,7.30
The Rose Tattoo,0.00,0.00,
The Sound Inside,0.00,0.00,
To Kill A Mockingbird,5.74,8.00,3.47
Tootsie,5.83,7.65,4.00
Waitress,6.28,7.70,4.87
Wicked,6.57,5.33,7.82
Arsenic and Old Lace,,,
Broadway Bound,,,
Jackie Mason's The World According to Me!,,,
Me and My Girl,,,
Oh Coward!,,,
Smile,,,
Social Security,,,
Stepping Out,,,
Sweet Charity,,,
Sweet Sue,,,
The Front Page,6.91,7.92,5.89
The House of Blue Leaves,6.01,6.26,5.75
Wild Honey,,,
You Never Can Tell,,,
A Little Like Magic,,,
Flamenco Puro,,,
Into the Light,,,
"Mummenschanz: ""The New Show""",,,
Raggedy Ann,,,
Rowan Atkinson at the Atkinson,,,
The Life and Adventures of Nicholas Nickleby,,,
Cuba and His Teddy Bear,,,
Rags,,,
Honky Tonk Nights,,,
Long Day's Journey Into Night,6.32,7.95,4.69
Loot,,,
The Boys in Autumn,,,
The Petition,,,
Big Deal,,,
So Long on Lonely Street,,,
Precious Sons,,,
"The Flying Karamazov Brothers ""Juggling and Cheap Theatrics""",,,
Execution of Justice,,,
The Caretaker,,,
Lillian,,,
Uptown...It's Hot!,,,
Jerome Kern Goes to Hollywood,,,
Anything Goes,7.12,7.89,6.34
Breaking the Code,,,
Burn This,5.15,6.88,3.43
Cabaret,7.11,8.09,6.13
Coastal Disturbances,,,
Don't Get God Started,,,
Fences,,,
Into the Woods,,,
Les Mis,,,
Penn & Teller,,,
Starlight Express,,,
Teddy &amp; Alice,,,
Sherlock's Last Case,,,
Dreamgirls,0.00,0.00,
Mort Sahl on Broadway!,,,
Late Nite Comic,,,
Roza,,,
Les Liaisons Dangereuses,6.29,6.57,6.00
Pygmalion,,,
The Musical Comedy Murders of 1940,,,
The Comedy of Errors,,,
Blithe Spirit,,,
Broadway,,,
All My Sons,6.76,7.94,5.57
Asinamali!,,,
Stardust,,,
Sleight of Hand,,,
The Mikado,,,
Barbara Cook: A Concert for the Theatre,,,
The Regard of Flight,,,
A Month of Sundays,,,
Safe Sex,,,
Death and the King's Horseman,,,
Ain't Misbehavin',,,
Checkmates,,,
Eastern Standard,,,
Legs Diamond,,,
M. Butterfly,,,
Our Town,,,
Romance / Romance,,,
Rumors,,,
Sarafina!,,,
Speed-the-Plow,,,
The Devil's Disciple,,,
Spoils of War,,,
"Michael Feinstein in Concert: ""Isn't It Romantic""",,,
Paul Robeson,,,
The Night of the Iguana,2.75,0.00,5.50
Canciones De Mi Padre,,,
Juno and the Paycock,,,
A Walk in the Woods,,,
Chess,0.00,0.00,
Joe Turner's Come and Gone,,,
Macbeth,6.09,6.00,6.19
Michael Feinstein in Concert,,,
A Streetcar Named Desire,6.66,6.55,6.77
Carrie,,,
Mail,,,
The Gospel at Colonus,,,
Oba Oba,,,
Serious Money,,,
A Few Good Men,,,
Artist Descending a Staircase,,,
Black and Blue,,,
City of Angels,,,
Grand Hotel,,,
Gypsy,,,
Jerome Robbins' Broadway,,,
Lend Me a Tenor,,,
Love Letters,6.02,7.38,4.67
Meet Me in St. Louis,,,
Sweeney Todd,,,
The Circle,,,
The Merchant of Venice,,,
The Tenth Man,,,
Threepenny Opera,,,
Tru,,,
Orpheus Descending,,,
Mastergate,,,
Shirley Valentine,,,
Prince of Central Park,,,
Sid Caesar & Company,,,
The Secret Rapture,,,
Dangerous Games,,,
"Mandy Patinkin in Concert: ""Dress Casual""",,,
Largely New York,,,
Shenandoah,,,
Metamorphosis,,,
Starmites,,,
Born Yesterday,6.34,8.00,4.69
Ghetto,,,
Chu Chem,,,
Welcome to the Club,,,
Run for Your Wife,,,
