week_ending,show,seats_sold,perfs,this_week_gross,diff_in_dollars,avg_ticket_price,percent_of_cap,diff_percent_of_cap
2019-09-22,The Great Society,5487,0,404000.5,-9429.0,73.63,0.6471,-0.0529
2019-09-22,Mean Girls,8416,8,714663.05,-41604.8,84.92,0.8588,-0.0464
2019-09-22,Wicked,11835,8,1308200.0,-142891.5,110.54,0.8187,-0.1557
2019-09-22,Waitress,6475,8,562579.7,-297465.6,86.88,0.7745,-0.2244
2019-09-22,Tootsie,9505,8,879511.4,-110717.8,92.53,0.7417,-0.066
2019-09-22,To Kill A Mockingbird,11672,8,2093266.84,129066.43,179.34,1.0167,0.0038
2019-09-22,The Sound Inside,5644,0,412733.0,260307.0,73.13,0.7069,-0.1989
2019-09-22,The Rose Tattoo,2112,0,160063.0,0.0,75.79,0.9764,0.0
2019-09-22,The Phantom of the Opera,9591,8,828670.22,-81510.98,86.4,0.747,-0.1335
2019-09-22,The Lion King,13162,8,1846698.0,75225.0,140.31,0.9701,0.0243
2019-09-22,The Lightning Thief: The Percy Jackson Musical,3526,0,175766.5,0.0,49.85,0.6572,0.0
2019-09-22,The Height of the Storm,4581,0,299624.0,15463.5,65.41,0.8906,0.0612
2019-09-22,The Book of Mormon,8252,8,1026084.75,-18662.75,124.34,0.9852,-0.0253
2019-09-22,Slave Play,6245,0,396469.0,89801.0,63.49,0.9844,-0.0013
2019-09-22,Sea Wall/A Life,7333,8,737787.5,18412.25,100.61,0.9421,-0.0254
2019-09-22,Moulin Rouge! The Musical!,10499,8,2157446.5,-26695.5,205.49,1.008,0.0004
2019-09-22,Oklahoma!,4441,8,410703.63,-29481.87,92.48,0.8527,-0.0492
2019-09-22,Linda Vista,2883,0,127393.42,0.0,44.19,0.8214,0.0
2019-09-22,Dear Evan Hansen,7563,8,1002863.3,-12862.5,132.6,0.9607,-0.0481
2019-09-22,Ain't Too Proud¡ªThe Life and Times of the Temptations,11214,8,1529416.06,17266.78,136.38,0.9844,-0.0052
2019-09-22,Aladdin,11862,8,1081016.1,-135317.4,91.13,0.8586,-0.0969
2019-09-22,Beautiful: The Carole King Musical,7958,8,812477.7,37779.5,102.1,0.9695,-0.0194
2019-09-22,Beetlejuice,10523,8,856466.3,-32691.4,81.39,0.881,-0.0232
2019-09-22,Betrayal,6172,8,683274.4,-119838.8,110.71,0.7447,-0.176
2019-09-22,"Harry Potter and the Cursed Child, Parts One and Two",12976,8,1017975.0,-77506.0,78.45,1.0,0.0
2019-09-22,Come From Away,8515,8,974276.2,27310.3,114.42,1.0176,-0.0003
2019-09-22,Chicago,7123,8,608087.0,-81219.17,85.37,0.8244,-0.1321
2019-09-22,Derren Brown: Secret,4573,7,324370.0,66021.2,70.93,0.638,-0.3002
2019-09-22,Freestyle Love Supreme,5245,0,701508.54,309387.54,133.75,0.857,-0.0312
2019-09-22,Frozen,11258,8,800562.5,-153518.7,71.11,0.8357,-0.061
2019-09-22,Hadestown,7431,8,1413374.0,21354.5,190.2,1.0118,-0.0022
