Show,Date,FB Likes,Likes Vs.Last Week,FB Talking About,Talking Vs.Last Week,FB Checkins,Checkins vs.Last Week,Twitter Followers,Twitter vs.Last Week,Instagram Followers,IG Followers vs.Last Week,Current,Type,Total Fans Change
A Christmas Carol,9/29,244,22,299,-84,0,0,60,2,257,25,Upcoming,Play,9.57%
A Christmas Carol,9/22,222,0,383,0,0,0,58,0,232,0,Upcoming,Play,0%
Ain't Too Proud,9/29,"8,451",152,"4,848",-178,"18,743",694,"2,971",38,"13,279",114,Current,Musical,1.25%
Ain't Too Proud,9/22,"8,299",150,"5,026","1,483","18,049",646,"2,933",26,"13,165",95,Current,Musical,1.12%
Ain't Too Proud,9/15,"8,149",113,"3,543",-668,"17,403",747,"2,907",23,"13,070",170,Current,Musical,1.28%
Ain't Too Proud,9/8,"8,036",115,"4,211","-1,398","16,656",715,"2,884",18,"12,900",122,Current,Musical,1.08%
Ain't Too Proud,9/1,"7,921",169,"5,609","-1,359","15,941",707,"2,866",36,"12,778",146,Current,Musical,1.51%
Ain't Too Proud,8/25,"7,752",153,"6,968","4,056","15,234",669,"2,830",20,"12,632",82,Current,Musical,1.11%
Ain't Too Proud,8/18,"7,599",67,"2,912","-1,015","14,565",709,"2,810",46,"12,550",121,Current,Musical,1.03%
Ain't Too Proud,8/11,"7,532",89,"3,927",-472,"13,856",661,"2,764",23,"12,429",97,Current,Musical,0.93%
Ain't Too Proud,8/4,"7,443",102,"4,399",-18,"13,195",708,"2,741",36,"12,332",83,Current,Musical,0.99%
Ain't Too Proud,7/28,"7,341",122,"4,417",-540,"12,487",652,"2,705",13,"12,249",78,Current,Musical,0.96%
Ain't Too Proud,7/22,"7,219",160,"4,957","1,231","11,835",623,"2,692",22,"12,171",193,Current,Musical,1.73%
Ain't Too Proud,7/14,"7,059",76,"3,726",-734,"11,212",589,"2,670",35,"11,978",217,Current,Musical,1.53%
Ain't Too Proud,7/7,"6,983",151,"4,460","1,629","10,623",681,"2,635",30,"11,761",248,Current,Musical,2.05%
Ain't Too Proud,6/30,"6,832",71,"2,831","-3,415","9,942",605,"2,605",53,"11,513",198,Current,Musical,1.56%
Ain't Too Proud,6/23,"6,761",131,"6,246",246,"9,337",685,"2,552",52,"11,315",266,Current,Musical,2.23%
Ain't Too Proud,6/16,"6,630",129,"6,000",99,"8,652",631,"2,500",111,"11,049",691,Current,Musical,4.84%
Ain't Too Proud,6/9,"6,501",249,"5,901","1,634","8,021",627,"2,389",345,"10,358",886,Current,Musical,8.33%
Ain't Too Proud,6/2,"6,252",133,"4,267",-158,"7,394",581,"2,044",38,"9,472",273,Current,Musical,2.56%
Ain't Too Proud,5/26,"6,119",200,"4,425","-2,085","6,813",715,"2,006",58,"9,199",253,Current,Musical,3.04%
Ain't Too Proud,5/19,"5,919",382,"6,510","1,363","6,098",432,"1,948",41,"8,946",598,Current,Musical,6.47%
Ain't Too Proud,5/12,"5,537",132,"5,147","-10,143","5,666",472,"1,907",66,"8,348",528,Current,Musical,4.82%
Ain't Too Proud,5/5,"5,405",520,"15,290","15,290","5,194",363,"1,841",205,"7,820",906,Current,Musical,12.14%
Ain't Too Proud,4/28,"4,885",218,0,0,"4,831",432,"1,636",44,"6,914",251,Current,Musical,3.97%
Ain't Too Proud,4/21,"4,667",141,0,0,"4,399",368,"1,592",46,"6,663",239,Current,Musical,3.41%
Ain't Too Proud,4/14,"4,526",130,0,"-8,190","4,031",566,"1,546",89,"6,424",268,Current,Musical,4.06%
Ain't Too Proud,4/7,"4,396",290,"8,190","2,578","3,465",595,"1,457",194,"6,156",173,Current,Musical,5.79%
Ain't Too Proud,3/31,"4,106",703,"5,612","-8,817","2,870",518,"1,263",64,"5,983",381,Current,Musical,11.25%
Ain't Too Proud,3/24,"3,403",734,"14,429","9,822","2,352",662,"1,199",361,"5,602","1,355",Current,Musical,31.60%
Ain't Too Proud,3/17,"2,669",228,"4,607",-19,"1,690",235,838,52,"4,247",265,Current,Musical,7.56%
Ain't Too Proud,3/10,"2,441",415,"4,626","1,629","1,455",314,786,63,"3,982",328,Current,Musical,12.59%
Ain't Too Proud,3/3,"2,026",197,"2,997",769,"1,141",146,723,74,"3,654",337,Current,Musical,10.49%
Ain't Too Proud,2/24,"1,829",85,"2,228",-119,995,4,649,23,"3,317",131,Upcoming,Musical,4.30%
Ain't Too Proud,2/17,"1,744",75,"2,347",186,991,6,626,10,"3,186",166,Upcoming,Musical,4.73%
Ain't Too Proud,2/10,"1,669",171,"2,161",-419,985,2,616,23,"3,020",125,Upcoming,Musical,6.40%
Ain't Too Proud,2/3,"1,498",57,"2,580",416,983,0,593,10,"2,895",147,Upcoming,Musical,4.48%
Ain't Too Proud,1/27,"1,441",177,"2,164",-986,983,4,583,12,"2,748",137,Upcoming,Musical,7.33%
Ain't Too Proud,1/20,"1,264",117,"3,150",446,979,2,571,45,"2,611",370,Upcoming,Musical,13.59%
Ain't Too Proud,1/13,"1,147",180,"2,704",-310,977,0,526,4,"2,241",104,Upcoming,Musical,7.94%
Ain't Too Proud,1/6,967,64,"3,014",-71,977,2,522,13,"2,137",93,Upcoming,Musical,4.92%
Ain't Too Proud,12/30,903,266,"3,085","1,699",975,0,509,6,"2,044",147,Upcoming,Musical,13.80%
Ain't Too Proud,12/10,637,55,"1,386","1,158",975,-1,503,4,"1,897",27,Upcoming,Musical,2.91%
Ain't Too Proud,12/3,582,19,228,-532,976,-3,499,7,"1,870",11,Upcoming,Musical,1.27%
Ain't Too Proud,11/26,563,125,760,306,979,-3,492,15,"1,859",53,Upcoming,Musical,7.09%
Ain't Too Proud,11/18,438,34,454,179,982,152,477,8,"1,806",37,Upcoming,Musical,2.99%
Ain't Too Proud,11/12,404,33,275,51,830,131,469,22,"1,769",30,Upcoming,Musical,3.32%
Ain't Too Proud,11/4,371,24,224,50,699,118,447,7,"1,739",35,Upcoming,Musical,2.65%
Ain't Too Proud,10/28,347,19,174,110,581,105,440,7,"1,704",49,Upcoming,Musical,3.10%
Ain't Too Proud,10/21,328,28,64,-29,476,1,433,22,"1,655",115,Upcoming,Musical,7.33%
Ain't Too Proud,10/14,300,11,93,-47,475,0,411,15,"1,540",49,Upcoming,Musical,3.45%
Ain't Too Proud,10/7,289,35,140,-90,475,0,396,88,"1,491",32,Upcoming,Musical,7.67%
Ain't Too Proud,9/30,254,0,230,0,475,0,308,0,"1,459",0,Upcoming,Musical,0%
Aladdin,9/29,"496,991","2,605","69,694","-73,439","214,812",290,"52,262",56,"292,344",-178,Current,Musical,0.30%
Aladdin,9/22,"494,386","4,073","143,133","93,425","214,522",285,"52,206",48,"292,522",-463,Current,Musical,0.44%
Aladdin,9/15,"490,313",0,"49,708",0,"214,237",0,"52,158",0,"292,985",0,Current,Musical,0%
Aladdin,7/14,"488,206",-42,"3,493",5,"211,101",353,"51,612",174,"292,918","1,983",Current,Musical,0.25%
Aladdin,7/7,"488,248",304,"3,488",-747,"210,748",347,"51,438",51,"290,935","2,498",Current,Musical,0.34%
Aladdin,6/30,"487,944",0,"4,235",0,"210,401",0,"51,387",0,"288,437",0,Current,Musical,0%
Aladdin,6/9,"486,511",814,"8,506","-11,691","209,167",422,"50,961",145,"254,362","30,402",Current,Musical,4.12%
Aladdin,6/2,"485,697",538,"20,197","12,752","208,745",446,"50,816",201,"223,960","43,769",Current,Musical,6.22%
Aladdin,5/26,"485,159",672,"7,445",-966,"208,299",347,"50,615",458,"180,191","45,813",Current,Musical,7.02%
Aladdin,5/19,"484,487",486,"8,411","-5,412","207,952",422,"50,157",178,"134,378","5,385",Current,Musical,0.91%
Aladdin,5/12,"484,001",557,"13,823",272,"207,530",490,"49,979",87,"128,993","4,239",Current,Musical,0.74%
Aladdin,5/5,"483,444",614,"13,551","13,551","207,040",342,"49,892",29,"124,754","1,368",Current,Musical,0.31%
Aladdin,4/28,"482,830",620,0,0,"206,698",464,"49,863",59,"123,386","1,346",Current,Musical,0.31%
Aladdin,4/21,"482,210",267,0,0,"206,234",480,"49,804",37,"122,040",958,Current,Musical,0.19%
Aladdin,4/14,"481,943",404,0,"-28,664","205,754",510,"49,767",98,"121,082",881,Current,Musical,0.21%
Aladdin,4/7,"481,539","1,348","28,664","26,160","205,244",611,"49,669",111,"120,201","1,371",Current,Musical,0.44%
Aladdin,3/31,"480,191",921,"2,504","-3,234","204,633",643,"49,558",119,"118,830","1,115",Current,Musical,0.33%
Aladdin,3/24,"479,270",426,"5,738","-35,497","203,990",593,"49,439",60,"117,715","1,052",Current,Musical,0.24%
Aladdin,3/17,"478,844","1,276","41,235","39,612","203,397",443,"49,379",193,"116,663","1,925",Current,Musical,0.53%
Aladdin,3/10,"477,568",348,"1,623","-1,711","202,954",531,"49,186",-7,"114,738",337,Current,Musical,0.11%
Aladdin,3/3,"477,220",624,"3,334",-314,"202,423",716,"49,193",27,"114,401",613,Current,Musical,0.20%
Aladdin,2/24,"476,596",8,"3,648","-1,695","201,707",680,"49,166",36,"113,788",663,Current,Musical,0.11%
Aladdin,2/17,"476,588",246,"5,343","-6,223","201,027",778,"49,130",85,"113,125",649,Current,Musical,0.15%
Aladdin,2/10,"476,342",553,"11,566","8,221","200,249",876,"49,045",107,"112,476",624,Current,Musical,0.20%
Aladdin,2/3,"475,789",754,"3,345","-1,020","199,373",804,"48,938",7,"111,852",205,Current,Musical,0.15%
Aladdin,1/27,"475,035",142,"4,365",82,"198,569",821,"48,931",-1,"111,647",344,Current,Musical,0.08%
Aladdin,1/20,"474,893",370,"4,283",569,"197,748",784,"48,932",43,"111,303",157,Current,Musical,0.09%
Aladdin,1/13,"474,523",536,"3,714","2,359","196,964",823,"48,889",13,"111,146",314,Current,Musical,0.14%
Aladdin,1/6,"473,987",491,"1,355",337,"196,141",664,"48,876",15,"110,832",154,Current,Musical,0.10%
Aladdin,12/30,"473,496",93,"1,018","-2,565","195,477","2,136","48,861",599,"110,678","1,187",Current,Musical,0.30%
Aladdin,12/10,"473,403",867,"3,583",679,"193,341",768,"48,262",34,"109,491",187,Current,Musical,0.17%
Aladdin,12/3,"472,536",-269,"2,904",841,"192,573",764,"48,228",30,"109,304",248,Current,Musical,0%
Aladdin,11/26,"472,805",463,"2,063","-1,621","191,809",665,"48,198",102,"109,056",476,Current,Musical,0.17%
Aladdin,11/18,"472,342",-138,"3,684","-1,240","191,144",607,"48,096",21,"108,580",314,Current,Musical,0.03%
Aladdin,11/12,"472,480",238,"4,924",797,"190,537",775,"48,075",-140,"108,266",486,Current,Musical,0.09%
Aladdin,11/4,"472,242",454,"4,127",-222,"189,762",613,"48,215",80,"107,780",467,Current,Musical,0.16%
Aladdin,10/28,"471,788",280,"4,349","-13,512","189,149",551,"48,135",35,"107,313",387,Current,Musical,0.11%
Aladdin,10/21,"471,508",558,"17,861","8,461","188,598",604,"48,100",51,"106,926",761,Current,Musical,0.22%
Aladdin,10/14,"470,950",0,"9,400",0,"187,994",0,"48,049",0,"106,165",0,Current,Musical,0%
Aladdin,9/30,"470,342","5,676","2,556","-5,022","187,011","5,957","47,369",416,"104,281","2,034",Current,Musical,1.32%
Aladdin,7/30,"464,666",1,"7,578",0,"181,054",0,"46,953",-1,"102,247",104,Current,Musical,0.02%
Aladdin,7/23,"464,665","1,128","7,578",-530,"181,054",695,"46,954",19,"102,143",138,Current,Musical,0.21%
Aladdin,7/16,"463,537","1,618","8,108","5,687","180,359",676,"46,935",-422,"102,005",320,Current,Musical,0.25%
Aladdin,7/9,"461,919",608,"2,421","-2,102","179,683",672,"47,357",20,"101,685",149,Current,Musical,0.13%
Aladdin,7/2,"461,311",205,"4,523","1,827","179,011",733,"47,337",-13,"101,536",182,Current,Musical,0.06%
Aladdin,6/25,"461,106",255,"2,696","2,696","178,278","178,278","47,350",28,"101,354",223,Current,Musical,0.08%
Aladdin,6/18,"460,851",616,0,"-8,276",0,"-176,863","47,322",68,"101,131",277,Current,Musical,0.16%
Aladdin,6/11,"460,235",565,"8,276",-67,"176,863",633,"47,254",52,"100,854",250,Current,Musical,0.14%
Aladdin,6/4,"459,670",881,"8,343","-11,145","176,230",753,"47,202",66,"100,604",304,Current,Musical,0.21%
Aladdin,5/28,"458,789","1,220","19,488","18,241","175,477",644,"47,136",17,"100,300",392,Current,Musical,0.27%
